CUST_ID,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,CLV
1001,150,75,200,100,175,75,4650
1002,25,50,200,150,50,200,4050
1003,75,150,175,100,125,200,4950
1004,200,200,50,100,50,25,3750
1005,200,200,125,75,50,100,4500
1006,25,200,50,200,125,150,4500
1007,100,175,50,50,200,100,4050
1008,150,50,125,150,200,100,4650
1009,100,125,200,200,200,75,5400
1010,100,50,200,175,175,200,5400
1011,75,50,200,100,100,50,3450
1012,200,125,175,175,150,150,5850
1013,50,200,100,125,200,200,5250
1014,150,200,150,100,50,175,4950
1015,200,200,200,150,75,100,5550
1016,175,175,50,25,50,175,3900
1017,100,100,75,75,150,125,3750
1018,175,150,50,200,200,100,5250
1019,125,200,150,200,200,150,6150
1020,100,50,200,25,200,25,3600